"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"FEYE","FireEye, Inc.","13.58","$2.3B","2013","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/feye",
"FBNC","First Bancorp","19.59","$393.52M","1987","Finance","Major Banks","http://www.nasdaq.com/symbol/fbnc",
"FNLC","First Bancorp, Inc (ME)","23.19","$250.12M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fnlc",
"FRBA","First Bank","8.41","$66.33M","2013","n/a","n/a","http://www.nasdaq.com/symbol/frba",
"BUSE","First Busey Corporation","23.07","$881.38M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/buse",
"FBIZ","First Business Financial Services, Inc.","23.19","$201.84M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fbiz",
"FCAP","First Capital, Inc.","31.26","$104.33M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fcap",
"FCFS","First Cash, Inc.","46.41","$1.31B","1991","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/fcfs",
"FCNCA","First Citizens BancShares, Inc.","280.04","$3.36B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcnca",
"FCBC","First Community Bancshares, Inc.","24.26","$413.57M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcbc",
"FCCO","First Community Corporation","15.225","$101.99M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcco",
"FCFP","First Community Financial Partners, Inc.","9.46","$162.56M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcfp",
"FBNK","First Connecticut Bancorp, Inc.","18","$284.73M","2011","Finance","Banks","http://www.nasdaq.com/symbol/fbnk",
"FDEF","First Defiance Financial Corp.","44.48","$399.27M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fdef",
"FFBC","First Financial Bancorp.","21.71","$1.35B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ffbc",
"FFBCW","First Financial Bancorp.","10.6","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ffbcw",
"FFIN","First Financial Bankshares, Inc.","35.92","$2.37B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ffin",
"THFF","First Financial Corporation Indiana","40.57","$494.38M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/thff",
"FFNW","First Financial Northwest, Inc.","13.89","$185.11M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ffnw",
"FFWM","First Foundation Inc.","24.13","$391.4M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ffwm",
"FGBI","First Guaranty Bancshares, Inc.","16.2744","$123.84M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fgbi",
"FHB","First Hawaiian, Inc.","26.79","$3.74B","2016","Finance","Major Banks","http://www.nasdaq.com/symbol/fhb",
"INBK","First Internet Bancorp","23.61","$130.64M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/inbk",
"FIBK","First Interstate BancSystem, Inc.","31.91","$1.43B","2010","Finance","Major Banks","http://www.nasdaq.com/symbol/fibk",
"FRME","First Merchants Corporation","26.76","$1.09B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/frme",
"FMBH","First Mid-Illinois Bancshares, Inc.","25.54","$251.41M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fmbh",
"FMBI","First Midwest Bancorp, Inc.","19.07","$1.55B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fmbi",
"FNBC","First NBC Bank Holding Company","10.56","$203.08M","2013","Finance","Major Banks","http://www.nasdaq.com/symbol/fnbc",
"FNWB","First Northwest Bancorp","13.38","$174.04M","2015","Finance","Banks","http://www.nasdaq.com/symbol/fnwb",
"FSFG","First Savings Financial Group, Inc.","35.3001","$77.83M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fsfg",
"FSLR","First Solar, Inc.","34.42","$3.52B","2006","Technology","Semiconductors","http://www.nasdaq.com/symbol/fslr",
"FSBK","First South Bancorp Inc","9.53","$90.49M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fsbk",
"FAAR","First Trust Alternative Absolute Return Strategy ETF","29.13","$2.91M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/faar",
"FPA","First Trust Asia Pacific Ex-Japan AlphaDEX Fund","29.53","$33.96M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fpa",
"BICK","First Trust BICK Index Fund","22.5801","$7.9M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bick",
"FBZ","First Trust Brazil AlphaDEX Fund","13.71","$119.96M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fbz",
"FCAN","First Trust Canada AlphaDEX Fund","23.5","$7.05M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fcan",
"FTCS","First Trust Capital Strength ETF","39.73","$250.3M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ftcs",
"FCA","First Trust China AlphaDEX Fund","21","$4.2M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fca",
"FDT","First Trust Developed Markets Ex-US AlphaDEX Fund","47.9848","$220.83M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fdt",
